imageId,route,pageSection,group,category,subject,classification,requirement,orientation,aspectRatio,recommendedDimensions,mobileCrop,priority,status,internalShotBrief,aiPrompt,aiNegativePrompt,publicAltText,rightsRequirement,approvalOwner,replacementDependency,sourceType,sourceName,photographer,rightsStatus,approvalStatus,aiGenerated,aiModel,generationDate,assetAccuracyRequired,focalPoint,publicationStatus
SEA-A-capelli-stradivari-52,/sea/fleet/capelli-stradivari-52,Inventory hero + gallery (3),SEA,sea,Capelli Stradivari 52,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,Capelli Stradivari 52 at anchor/underway + deck + interior — actual vessel only,,,Capelli Stradivari 52,"Owner/operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
SEA-A-sydney-harbour-yacht,/sea/fleet/sydney-harbour-yacht,Inventory hero + gallery (3),SEA,sea,Sydney partner vessel,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,Sydney partner vessel at anchor/underway + deck + interior — actual vessel only,,,Sydney partner vessel,"Owner/operator-supplied, usage rights in writing",Operator approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
SEA-A-anasa,/sea/fleet/anasa,Inventory hero + gallery (3),SEA,sea,M/Y ANASA,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,M/Y ANASA at anchor/underway + deck + interior — actual vessel only,,,M/Y ANASA,"Owner/operator-supplied, usage rights in writing",Owner/manager approval,Blocks fleet page completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
STAY-001,/stay,Hero,STAY,stay,"Threshold, architecture in landscape",AI_EDITORIAL,AI permitted,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Hero · threshold light,"Architectural threshold, doors opening to coastal light, natural materials, believable construction, no people","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",A residence threshold opening to landscape light,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
STAY-A-the-cowries,/stay/collection/the-cowries,Inventory hero + gallery (3),STAY,stay,The Cowries,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,"The Cowries exterior + living + bedroom + view — actual residence only, no invented architecture",,,The Cowries residence,"Owner/manager-supplied, usage rights in writing",Owner/manager approval,Blocks collection completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
STAY-A-jasmine,/stay/collection/jasmine,Inventory hero + gallery (3),STAY,stay,JASMINE,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,"JASMINE exterior + living + bedroom + view — actual residence only, no invented architecture",,,JASMINE residence,"Owner/manager-supplied, usage rights in writing",Owner/manager approval,Blocks collection completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
STAY-A-one-w,/stay/collection/one-w,Inventory hero + gallery (3),STAY,stay,ONE W,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,"ONE W exterior + living + bedroom + view — actual residence only, no invented architecture",,,ONE W residence,"Owner/manager-supplied, usage rights in writing",Owner/manager approval,Blocks collection completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
STAY-A-mountain-majesty,/stay/collection/mountain-majesty,Inventory hero + gallery (3),STAY,stay,Mountain Majesty,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,"Mountain Majesty exterior + living + bedroom + view — actual residence only, no invented architecture",,,Mountain Majesty residence,"Owner/manager-supplied, usage rights in writing",Owner/manager approval,Blocks collection completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
STAY-A-tasmanian-slow-stay,/stay/collection/tasmanian-slow-stay,Inventory hero + gallery (3),STAY,stay,Tasmanian slow stay,REAL_ASSET,REAL REQUIRED — no AI,landscape,16:10,2400x1500,16:10 safe-center,P1,TONAL_PLACEHOLDER_LIVE,"Tasmanian slow stay exterior + living + bedroom + view — actual residence only, no invented architecture",,,Tasmanian slow stay residence,"Owner/manager-supplied, usage rights in writing",Owner/manager approval,Blocks collection completeness,,,,NOT_CLEARED,UNAPPROVED,False,,,True,center,NOT_PUBLISHED
WLD-SYD-H,/world/sydney,World hero,Worlds:Sydney,destination,Sydney hero,REAL_DESTINATION,Real preferred,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Sydney · place-led hero,,,Sydney,Licensed or AI with provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
WLD-SYD-1,/world/sydney,Editorial frame 1,Worlds:Sydney,destination,Sydney editorial 1,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Sydney editorial atmosphere,,,Sydney landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-SYD-2,/world/sydney,Editorial frame 2,Worlds:Sydney,destination,Sydney editorial 2,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Sydney editorial atmosphere,,,Sydney landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-WHI-H,/world/whitsundays,World hero,Worlds:Whitsundays,destination,Whitsundays hero,REAL_DESTINATION,Real preferred,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Whitsundays · place-led hero,,,Whitsundays,Licensed or AI with provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
WLD-WHI-1,/world/whitsundays,Editorial frame 1,Worlds:Whitsundays,destination,Whitsundays editorial 1,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Whitsundays editorial atmosphere,,,Whitsundays landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-WHI-2,/world/whitsundays,Editorial frame 2,Worlds:Whitsundays,destination,Whitsundays editorial 2,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Whitsundays editorial atmosphere,,,Whitsundays landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-NOO-H,/world/noosa,World hero,Worlds:Noosa,destination,Noosa hero,REAL_DESTINATION,Real preferred,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Noosa · place-led hero,,,Noosa,Licensed or AI with provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,False,,,False,center,NOT_PUBLISHED
WLD-NOO-1,/world/noosa,Editorial frame 1,Worlds:Noosa,destination,Noosa editorial 1,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Noosa editorial atmosphere,,,Noosa landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-NOO-2,/world/noosa,Editorial frame 2,Worlds:Noosa,destination,Noosa editorial 2,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Noosa editorial atmosphere,,,Noosa landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-TAS-H,/world/tasmania,World hero,Worlds:Tasmania,destination,Tasmania hero,AI_EDITORIAL,Real preferred,landscape,21:9,2880x1234,16:9,P1,TONAL_PLACEHOLDER_LIVE,Tasmania · place-led hero,,,Tasmania,Licensed or AI with provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-TAS-1,/world/tasmania,Editorial frame 1,Worlds:Tasmania,destination,Tasmania editorial 1,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Tasmania editorial atmosphere,,,Tasmania landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-TAS-2,/world/tasmania,Editorial frame 2,Worlds:Tasmania,destination,Tasmania editorial 2,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,center,P3,TONAL_PLACEHOLDER_LIVE,Tasmania editorial atmosphere,,,Tasmania landscape detail,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-FUT-1,/world,Future world card set,Future worlds,destination,Mediterranean / Mountain West concepts,AI_CONCEPT,AI permitted,landscape,4:3,1600x1200,native,P4,TONAL_PLACEHOLDER_LIVE,Future world concept frames — clearly atmospheric,"Distant coastline seen from altitude, atmospheric haze, concept register, deliberately unspecific","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Distant coastline concept,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
WLD-FUT-2,/world,Future world card set 2,Future worlds,destination,Alpine concept,AI_CONCEPT,AI permitted,landscape,4:3,1600x1200,native,P4,TONAL_PLACEHOLDER_LIVE,Alpine future concept,"Alpine ridge at dusk, snow light, unspecific location, quiet concept register","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry",Snowlit alpine ridge at dusk,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
JRN-001,/journeys,Journey transitions (2),Journeys,journeys,Movement between modes,AI_EDITORIAL,AI permitted,landscape,16:9,2400x1350,center,P3,TONAL_PLACEHOLDER_LIVE,"Transitional frames — runway to water, water to door","View from aircraft window down to island water, transition moment, natural haze","oversaturated sky, HDR, lens flare, posed models, champagne, logos, text, watermarks, distorted machinery, extra limbs, obvious symmetry","Travel transition, aircraft window to water",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
JNL-001,/journal,Journal cover 1,Journal,journal,Editorial story cover,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,16:9 recrop,P3,TONAL_PLACEHOLDER_LIVE,"Journal covers — observational, place-led",,,Editorial travel scene,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
JNL-002,/journal,Journal cover 2,Journal,journal,Editorial story cover,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,16:9 recrop,P3,TONAL_PLACEHOLDER_LIVE,"Journal covers — observational, place-led",,,Editorial travel scene,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
JNL-003,/journal,Journal cover 3,Journal,journal,Editorial story cover,AI_EDITORIAL,AI permitted,landscape,3:2,1800x1200,16:9 recrop,P3,TONAL_PLACEHOLDER_LIVE,"Journal covers — observational, place-led",,,Editorial travel scene,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
SOC-001,(social),Default OG image,Social,brand,WAYPOINT default share frame,AI_EDITORIAL,AI permitted,landscape,1200x630,1200x630,fixed,P2,TONAL_PLACEHOLDER_LIVE,"OG default — tonal + wordmark, or approved atmosphere",,,"WAYPOINT & Co. — air, sea and stay",AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
SOC-AIR,(social),AIR share frame,Social,air,air category share,AI_EDITORIAL,AI permitted,landscape,1200x630,1200x630,fixed,P3,TONAL_PLACEHOLDER_LIVE,air share atmosphere,,,WAYPOINT AIR,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
SOC-SEA,(social),SEA share frame,Social,sea,sea category share,AI_EDITORIAL,AI permitted,landscape,1200x630,1200x630,fixed,P3,TONAL_PLACEHOLDER_LIVE,sea share atmosphere,,,WAYPOINT SEA,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
SOC-STAY,(social),STAY share frame,Social,stay,stay category share,AI_EDITORIAL,AI permitted,landscape,1200x630,1200x630,fixed,P3,TONAL_PLACEHOLDER_LIVE,stay share atmosphere,,,WAYPOINT STAY,AI provenance,Mason (Ops),,,,,NOT_CLEARED,UNAPPROVED,True,,,False,center,NOT_PUBLISHED
